,num_xDR_sess,Dur. (ms),Tot_DL_UL (Bytes)
count,23459.0,23459.0,23459.0
mean,15.279210537533569,215264.26407775268,1116121124.37346
std,2.9849793845118877,129487.56722133189,350235264.18583393
min,7.0,18235.0,177006936.0
25%,14.0,123847.0,857711221.0
50%,14.0,187838.0,1086065116.0
75%,14.0,272455.5,1352792309.5
max,28.0,1480875.0,2512802189.0
