,num_xDR_sess,Dur. (ms),Tot_DL_UL (Bytes)
0,33626320676.0,33625779332.0,33614892860.0
1,33625779332.0,33614892860.0,33760536639.0
2,33614892860.0,33760536639.0,33625779332.0
3,33659725664.0,33626320676.0,33626320676.0
4,33760536639.0,33667163239.0,33675877202.0
5,33675877202.0,33662840755.0,33659725664.0
6,33667163239.0,33664693736.0,33666464084.0
7,33627080969.0,33603127838.0,33760413819.0
8,33604515716.0,33667456716.0,33664712899.0
9,33760413819.0,33760413819.0,33698792269.0
