,num_xDR_sess,Dur. (ms),Tot_DL_UL (Bytes)
count,79850.0,79850.0,79850.0
mean,7.196192861615529,103121.04112711333,494951899.5784095
std,1.1553679542218651,69492.78016713777,241700101.26984474
min,7.0,7142.0,33249009.0
25%,7.0,54326.25,289126688.5
50%,7.0,86400.0,494092601.0
75%,7.0,138826.0,701303701.25
max,14.0,1035261.0,950760661.0
